ㄱㄴ순 ㄱㄴ順
단독평로법 單獨平爐法
단독해손 單獨海損
단독행동 單獨行動
단독행위 單獨行爲
단독허위표시 單獨虛僞表示
단독회견 單獨會見
단동 丹銅
단동 單동
단동기관 單動機關
단동무니 單동무니
단동불출 單동不出
단동불출하다 單동不出하다
단동치기 單동치기
단두 斷頭
단두 檀頭
단두 短頭
단두대 斷頭臺
단두자 斷頭者
단두하다 斷頭하다
단두화현상 短頭化現象
단락 段落
단락 短絡
단락반응 短絡反應
단락시험 短絡試驗
단락짓다 段落짓다
단락하다 短絡하다
단란 團欒
단란지락 團欒之樂
단란하다 團欒하다
단량 丹良
단량 端良
단량체 單量體
단려 短慮
단려 端麗
단려하다 端麗하다
단련 團練
단련 鍛鍊
단련교회 鍛鍊敎會
단련되다 鍛鍊되다
단련사 團練使
단련사후시 團練使後市
단련지교회 鍛鍊之敎會
단련지회 鍛鍊之會
단련판관 團練判官
단련하다 鍛鍊하다
단령 團領
단례 斷例
단록 短麓
단료 單寮
단루 丹樓
단루채각 丹樓彩閣
단류 湍流
단류전신 單流電信
단리 單利
단리 單離
단리 短籬
단리법 單利法
단리최종이율 單利最終利率
단립 團粒
단립구조 單粒構造
단립구조 團粒構造
단립조직 單粒組織
단립조직 團粒組織
단마비 單痲痺
단막 單幕
단막극 單幕劇
단말 端末
단말기 端末機
단말마 斷末魔
단말마적 斷末魔的
단망 單望
단망 斷望
단망하다 斷望하다
단면 單面
단면 斷面
단면 袒免
단면기 斷面器
단면도 斷面圖
단면상 斷面相
단면선 斷面線
단면적 斷面的
단면적 斷面積
단면적 斷面績
단멸 斷滅
단명 單名
단명 單明
단명 旦明
단명 短命
단명구 短命句
단명귀 短命句
단명수 單名數
단명어음 單名어음
단명하다 短命하다
단몌 短袂
단모 旦暮
단모 短毛
단모음 單母音
단목 丹木
단목 單목
단목 檀木
단묘 端妙
단무타려 斷無他慮
단문 單文
단문 短文
단문 端門
단문 袒免
단문고증 單文孤證
단문류 單門類
단문친 袒免親
단문하다 短文하다
단미 斷尾
단미사료 短尾飼料
단미하다 斷尾하다
단바둑 段바둑
단반경 短半徑
단발 單發
단발 斷髮
단발 短髮
단발기 單發機
단발령 斷髮令
단발머리 斷髮머리
단발문신 斷髮文身
단발미인 斷髮美人
단발성 單發性
단발성신경염 單發性神經炎
단발식 單發式
단발장치 單發裝置
단발총 單發銃
단발하다 斷髮하다
단발효주 單醱酵酒
단방 單房
단방 單放
단방 單方
단방 斷房
단방문 單方文
단방산제 單方散劑
단방약 單方藥
단방치기 單放치기
단방치기하다 單放치기하다
단방하다 斷房하다
단배 單拜
단배 團拜
단배 壇排
단배하다 單拜하다
단배하다 團拜하다
단백 蛋白
단백가 蛋白價
단백광 蛋白光
단백광현상 蛋白光現象
단백뇨 蛋白尿
단백립 蛋白粒
단백석 蛋白石
단백소화효소 蛋白消化酵素
단백유 蛋白乳
단백지 蛋白紙
단백질 蛋白質
단백호 單白虎
단번 單番
단벌 單벌
단법 壇法
단벽 丹碧
단변리 單邊利
단변리법 單邊利法
단별 段別
단병 單兵
단병 短兵
단병접전 短兵接戰
단병접전하다 短兵接戰하다
단보 單步
단보 段步
단복 單複
단복 團服
단복고창 單腹鼓脹
단본 單本
단본 端本
단본위 單本位
단본위제 單本位制
단본위제도 單本位制度
단봇짐 單봇짐
단봉 丹鳳
단봉 短棒
단봉낙타 單峯駱駝
단봉낙타 單峰駱駝
단봉약대 單峯약대
단봉타 單峰駝
단부 單付
단분산계 單分散系
단분수 單分數
단분자막 單分子膜
단분자층 單分子層
단불요대 斷不饒貸
단불용대 斷不容貸
단불용대하다 斷不容貸하다
단비 單婢
단비 單比
단비 團匪
단비 斷碑
단비 斷臂
단비 短臂
단비례 單比例
단사 丹砂
단사 單射
단사 單絲
단사 單舍
단사 簞食
단사관 斷事官
단사두갱 簞食豆羹
단사리별 單舍利別
단사불성선 單絲不成線
단사선문 短斜線文
단사유황 單斜硫黃
단사자리 丹絲자리
단사점열문 短斜點列文
단사정계 單斜晶系
단사표음 簞食瓢飮
단사호장 簞食壺漿
단산 單産
단산 斷産
단산되다 斷産되다
단산하다 斷産하다
단삼 丹蔘
단삼 單衫
단삼화음 短三和音
단상 單相
단상 壇上
단상 斷想
단상 檀像
단상 短喪
단상교류 單相交流
단상하다 斷想하다
단상회로 單相回路
단색 丹色
단색 單色
단색광 單色光
단색광기 單色光器
단색인쇄 單色印刷
단색판 單色版
단색화 單色畵
단색흡수 單色吸收
단생대류 單生代類
단생보험 單生保險
단서 丹書
단서 丹黍
단서 但書
단서 端緖
단서법 斷敍法
단서철권 丹書鐵券
단석 丹石
단석 單席
단석 斷石
단석 旦夕
단석 端石
단선 單線
단선 單船
단선 團扇
단선 斷線
단선 短線
단선궤도 單線軌道
단선근 斷善根
단선율음악 單線律音樂
단선음악 單線音樂
단선적 單線的
단선철도 單線鐵道
단선하다 斷線하다
단설 單設
단설하다 單設하다
단섬광 短閃光
단성 丹誠
단성 單性
단성 單聲
단성결실 單性結實
단성부음악 單聲部音樂
단성생식 單性生殖
단성설 單性說
단성잡종 單性雜種
단성합창 單聲合唱
단성화 單性花
단세 單稅
단세 短世
단세론 單稅論
단세제도 單稅制度
단세주의 單稅主義
단세포 單細胞
단세포단백 單細胞蛋白
단세포동물 單細胞動物
단세포생물 單細胞生物
단세포선 單細胞線
단세포식물 單細胞植物
단세포적 單細胞的
단소 壇所
단소 短小
단소 短所
단소 短簫
단소하다 短小하다
단속 團束
단속 斷續
단속 緞屬
단속곳 單속곳
단속기 斷續器
단속되다 團束되다
단속적 斷續的
단속전류 斷續電流
단속하다 團束하다
단속하다 斷續하다
단손 單손
단수 單手
단수 單數
단수 斷水
단수 段數
단수 短壽
단수 短袖
단수 端數
단수되다 斷水되다
단수로 短水路
단수법 斷髓法
단수여권 單數旅券
단수하다 斷水하다
단수하다 短壽하다
단숙 端肅
단순 丹脣
단순 單純
단순가설 單純假說
단순가치형태 單純價値形態
단순개념 單純槪念
단순격자 單純格子
단순골절 單純骨折
단순노동 單純勞動
단순노무자 單純勞務者
단순누진율 單純累進率
단순단백질 單純蛋白質
단순독점 單純獨占
단순림 單純林
단순맹검 單純盲檢
단순명사 單純名詞
단순명사 單純名辭
단순명제 單純命題
단순박자 單純拍子
단순반응 單純反應
단순사건 單純事件
단순사회 單純社會
단순산술평균 單純算術平均
단순상품생산 單純商品生産
단순설립 單純設立
단순성과급 單純成果給
단순성포진 單純性布陣
단순승수 單純乘數
단순승인 單純承認
단순시간급 單純時間給
단순어 單純語
단순온천 單純溫泉
단순완충법 單純緩衝法
단순유증 單純遺贈
단순음 單純音
단순음부 單純音符
단순음표 單純音標
단순장 單純葬
단순재생산 單純再生産
단순지수 單純指數
단순지질 單純脂質
단순천 單純泉
단순탄산천 單純炭酸泉
단순평균 單純平均
단순평균법 單純平均法
단순하다 單純하다
단순호치 丹脣皓齒
단순화 單純化
단순화되다 單純化되다
단순화하다 單純化하다
단승 單勝
단승식 單勝式
단시 單市
단시 檀施
단시 短時
단시 短蓍
단시 短視
단시 短詩
단시간 短時間
단시일 短時日
단시점 短蓍占
단시조 短時調
단시형 短詩型
단식 單式
단식 斷食
단식경기 單式競技
단식기도 斷食祈禱
단식기도하다 斷食祈禱하다
단식동맹 斷食同盟
단식두갱 簞食豆羹
단식법 斷食法
단식부기 單式簿記
단식성 單食性
단식시합 單式試合
단식인쇄 單式印刷
단식재 斷食齋
단식투쟁 斷食鬪爭
단식표음 簞食瓢飮
단식하다 斷食하다
단식화산 單式火山
단신 單身
단신 短信
단신 短身
단신법 單信法
단신복엽 單身複葉
단신총 單身銃
단실 單室
단실자방 單室子房
단심 丹心
단심가 丹心歌
단아 單芽
단아 單蛾
단아 端雅
단아하다 端雅하다
단악 丹堊
단악 斷惡
단악수선 斷惡修善
단악하다 斷惡하다
단안 單眼
단안 斷岸
단안 斷案
단안경 單眼鏡
단안증 單眼症
단안하다 斷案하다
단알 單閼
단압 鍛壓
단압기계 鍛壓機械
단압하다 鍛壓하다
단애 斷崖
단애청벽 丹崖靑壁
단액 丹液
단야 短夜
단야 鍛冶
단야하다 鍛冶하다
단약 丹藥
단약 單弱
단약하다 單弱하다
단양 端陽
단양적성 丹陽赤城
단양제 端陽祭
단양팔경 丹陽八景
단어 單語
단어문자 單語文字
단어접속 單語接續
단어집 單語集
단언 斷言
단언 端言
단언명령 斷言命令
단언명제 斷言命題
단언적 斷言的
단언판단 斷言判斷
단언하다 斷言하다
단언하다 端言하다
단엄 單嚴
단엄 端嚴
단엄침중 端嚴沈重
단엄하다 端嚴하다
단여의 單女衣
단역 端役
단연 丹鉛
단연 斷然
단연 斷煙
단연 短椽
단연 端然
단연 端硯
단연고 單軟膏
단연코 斷然코
단연하다 斷然하다
단연하다 斷煙하다
단연히 斷然히
단열 單列
단열 斷熱
단열 斷裂
단열감률 斷熱減率
단열골절 斷裂骨折
단열기관 單列機關
단열기관 斷裂機關
단열냉각 斷裂冷却
단열도법 斷裂圖法
단열변화 斷熱變化
단열상승 斷熱上昇
단열압축 斷熱壓縮
단열연와 斷熱煉瓦
단열재 斷熱材
단열적 斷熱的
단열진 單列陣
단열팽창 斷熱膨脹
단열하다 斷熱하다
단엽 單葉
단엽기 單葉機
단엽비행기 單葉飛行機
단엽함수 單葉函數
단영 丹楹
단영 單營
단예 端倪
단오 端午
단오떡 端午떡
단오부 端午符
단오부적 端午符籍
단오부채 端午부채
단오빔 端午빔
단오선 端午扇
단오일 端午日
단오절 端午節
단옥 斷獄
단옥하다 斷獄하다
단옷날 端午날
단옹식옹관 單甕式甕棺
단운 斷雲
단운시 單韻詩
단원 單元
단원 單院
단원 團員
단원 團圓
단원 壇垣
단원론 單元論
단원설 單元說
단원자기체 單元子氣體
단원자분자 單元子分子
단원제 單院制
단원제도 單院制度
단원측각기 單圓測角器
단원학습 單元學習
단월 檀越
단월 端月
단위 單位
단위가축 單胃家畜
단위격자 單位格子
단위결과 單爲結果
단위결실 單爲結實
단위계 單位系
단위구면 單位球面
단위넓이 單位넓이
단위노동조합 單位勞動組合
단위면적 單位面積
단위명사 單位名詞
단위반응 單位反應
단위발생 單位發生
단위부대 單位部隊
단위부서 單位部暑
단위분수 單位分數
단위상점 單位商店
단위생식 單爲生殖
단위시간 單位時間
단위원 單位元
단위원 單位圓
단위원소 單位元素
단위조작 單位操作
단위조합 單位組合
단위집합 單位集合
단위체 單位體
단위행렬 單位行列
단유아 單乳蛾
단음 單音
단음 斷音
단음 斷飮
단음 短音
단음계 短音階
단음기호 斷音記號
단음문자 單音文字
단음악 單音樂
단음절어 單音節語
단음정 單音程
단음주법 斷音奏法
단음창가 單音唱歌
단음표 短音標
단음하다 斷音하다
단음하다 斷飮하다
단의 丹衣
단의 單衣
단의 短衣
단익공 單翼工
단인 單刃
단인 端人
단인자잡종 單因子雜種
단일 單一
단일 短日
단일개념 單一槪念
단일결합 單一結合
단일경작 單一耕作
단일국가 單一國家
단일기계 單一機械
단일란 單一卵
단일명제 單一命題
단일민족 單一民族
단일민족국가 單一民族國家
단일본위 單一本位
단일본위제 單一本位制
단일상품 單一商品
단일성 單一性
단일성원칙 單一性原則
단일세론 單一稅論
단일세제도 單一稅制度
단일식물 單一植物
단일식물 短日植物
단일신교 單一神敎
단일어 單一語
단일예산주의 單一豫算主義
단일월 短日月
단일제 單一制
단일지도 單一指導
단일진자 單一振子
단일하다 單一하다
단일현운동 單一弦運動
단일현운동 單一絃運動
단일화 單一化
단일환율 單一換率
단일후보 單一候補
단임직선 單任直選
단자 單子
단자 單字
단자 團子
단자 短資
단자 端子
단자 緞子
단자론 單子論
단자방 單子房
단자병 團子餠
단자수신 短資受信
단자시장 短子市場
단자시장 短資市場
단자업계 短資業界
단자업자 短子業者
단자엽 單子葉
단자엽식물 單子葉植物
단자엽종자 單子葉種子
단자영업 短資營業
단자음 單子音
단자전압 端子電壓
단자함 端子函
단자회사 短資會社
단작 單作
단작농업 單作農業
단작하다 單作하다
단잔 單盞
단장 丹粧
단장 單葬
단장 團長
단장 壇場
단장 斷章
단장 斷腸
단장 短墻
단장 短杖
단장 短牆
단장 短章
단장 短長
단장 端裝
단장 簞匠
단장곡 斷腸曲
단장대 丹粧臺
단장류 單腸類
단장보단 斷長補短
단장상자 丹粧箱子
단장술 短杖術
단장이별곡 斷腸離別曲
단장적구 斷章摘句
단장정 短長亭
단장처 斷腸處
단장취의 斷章取義
단장취의하다 斷章取義하다
단장품 丹粧品
단장하다 丹粧하다
단장하다 端裝하다
단재 短才
단재기 斷裁機
단재하다 短才하다
단적 端的
단전 丹田
단전 單傳
단전 斷箭
단전 斷電
단전 短箋
단전 短箭
단전되다 單傳되다
단전타음 短前打音
단전하다 單傳하다
단전하다 斷電하다
단전호흡 丹田呼吸
단절 丹節
단절 斷切
단절 斷截
단절 斷折
단절 斷絶
단절 短折
단절기 斷截機
단절되다 斷切되다
단절되다 斷截되다
단절되다 斷絶되다
단절면 斷截面
단절적 斷絶的
단절하다 斷切하다
단절하다 斷截하다
단절하다 斷絶하다
단절하다 短折하다
단점 斷點
단점 短點
단점보완 短點補完
단접 鍛接
단접하다 鍛接하다
단정 丹精
단정 丹頂
단정 丹鼎
단정 單精
단정 斷定
단정 斷情
단정 短艇
단정 端整
단정 端正
단정 端艇
단정꽃차례 單頂꽃차례
단정되다 斷定되다
단정적 斷定的
단정코 斷定코
단정하다 斷定하다
단정하다 斷情하다
단정하다 端正하다
단정학 丹頂鶴
단정화서 丹頂花序
단정화서 單頂花序
단정히 端正히
단제류 單蹄類
단조 丹鳥
단조 單調
단조 短調
단조 鍛造
단조감소 單調減少
단조공간 單調空間
단조로이 單調로이
단조롭다 單調롭다
단조법칙 單調法則
단조성 單調性
단조수열 單調數列
단조증가 單調增加
단조하다 單調하다
단조하다 鍛造하다
단조함수 單調函數
단족 單族
단종 斷種
단종 端宗
단종법 斷種法
단종선 單縱線
단종수술 斷種手術
단종실록 端宗實錄
단종진 單縱陣
단종하다 斷種하다
단좌 單坐
단좌 團坐
단좌 端坐
단좌식 單座式
단좌하다 單坐하다
단좌하다 團坐하다
단좌하다 端坐하다
단죄 斷罪
단죄되다 斷罪되다
단죄하다 斷罪하다
단주 丹朱
단주 丹柱
단주 斷奏
단주 斷酒
단주 短奏
단주 短柱
단주 短珠
단주 端株
단주 端舟
단주 端酒
단주기변광성 短週期變光性
단주법 斷奏法
단주하다 斷奏하다
단주하다 斷酒하다
단죽 短竹
단중 端重
단중하다 端重하다
단중히 端重히
단증류 單蒸類
단지 丹脂
단지 但只
단지 團地
단지 斷指
단지 斷趾
단지 段地
단지 短智
단지 短枝
단지 端志
단지골증 短指骨症
단지재식 斷肢再植
단지조림 團地造林
단지증 短指症
단지하다 斷指하다
단지하다 斷趾하다
단직 端直
단진동 單振動
단진자 單振子
단집합 單集合
단차 單差
단차 團茶
단차 段車
단차하다 單差하다
단찰 短札
단참 單站
단참에 單站에
단참으로 單站으로
단창 單窓
단창 短槍
단채 單彩
단채유 單彩釉
단처 短處
단척 短尺
단천 短淺
단천 端川
단철 單鐵
단철 鍛鐵
단철장 鍛鐵場
단철하다 鍛鐵하다
단청 丹靑
단청룡 單靑龍
단청수 丹靑手
단청판 短廳板
단청하다 丹靑하다
단청화사 丹靑畵師
단체 單體
단체 團體
단체객 團體客
단체경기 團體競技
단체경주 團體競走
단체계약 單體契約
단체계약 團體契約
단체교섭 團體交涉
단체교섭권 團體交涉權
단체법 單體法
단체법 團體法
단체보험 團體保險
단체분리 單體分離
단체분리 團體分離
단체상 團體賞
단체생활 團體生活
단체여행 團體旅行
단체연금 團體年金
단체유희 團體遊戱
단체입자 單體粒子
단체자치 團體自治
단체적 團體的
단체전 團體戰
단체정신 團體情神
단체정신 團體精神
단체체조 團體體操
단체촌충류 單體寸蟲類
단체행동 團體行動
단체행동권 團體行動權
단체협약 團體協約
단체활동 團體活動
단체훈련 團體訓鍊
단초 斷礎
단촉 短촉
단촉하다 短促하다
단총 短銃
단축 短縮
단축 短軸
단축결정 單軸結晶
단축노동 短縮勞動
단축되다 短縮되다
단축수업 短縮授業
단축하다 短縮하다
단축향사 短軸向斜
단충 丹忠
단충 丹衷
단취 團聚
단취 斷取
단취력 團聚力
단취하다 團聚하다
단층 單層
단층 斷層
단층각력 斷層角礫
단층낙차 斷層落差
단층림 單層林
단층면 斷層面
단층변주 單層邊柱
단층분지 斷層盆地
단층사진 斷層寫眞
단층산맥 斷層山脈
단층산지 斷層山地
단층애 斷層崖
단층운동 斷層運動
단층지괴 斷層地塊
단층지진 斷層地震
단층집 單層집
단층촬영 斷層撮影
단층해안 單層海岸
단층호 斷層湖
단칠 丹칠
단침 短針
단침로비행 單針路飛行
단칭 單稱
단칭명사 單稱名辭
단칭명제 單稱命題
단칭판단 單稱判斷
단칸 單間
단칸방 單間房
단칼 單칼
단타 單打
단타 短打
단타법 短打法
단탕건 單宕巾
단통 單통
단통총 單筒銃
단퇴석 端堆石
단특 單特
단틀 單틀
단파 短波
단파방송 短波放送
단파송신기 短波送信機
단파수신기 短波受信機
단파요법 短波療法
단파의 單罷議
단파의하다 單罷議하다
단파장 短波長
단판 單板
단판 單瓣
단판 單판
단판 端板
단판법 單板法
단판화 單瓣花
단팥죽 단팥粥
단패 單패
단패교군 單패轎軍
단편 斷片
단편 斷篇
단편 斷編
단편 短篇
단편 短鞭
단편극 短篇劇
단편모류 單鞭毛類
단편소설 短篇小說
단편영화 短篇映畵
단편잔간 斷編殘簡
단편잔간 短篇殘簡
단편적 斷片的
단편집 短篇集
단편협주곡 短篇協奏曲
단평 短評
단평 端平
단폐 丹陛
단포 單胞
단포상 短布裳
단포약 單胞葯
단표 簞瓢
단표누항 簞瓢陋巷
단표루항 簞瓢陋巷
단표자 單瓢子
단풍 丹楓
단풍나무 丹楓나무
단풍놀이 丹楓놀이
단풍놀이하다 丹楓놀이하다
단풍잎 丹楓잎
단풍전선 丹楓前線
단피요 蛋皮窯
단피화 單被花
단필 短筆
단필정죄 丹筆定罪
단하 丹霞
단하 壇下
단하 段下
단학 短學
단학흉배 單鶴胸背
단한 單寒
단한 斷限
단할 斷割
단함 單銜
단합 團合
단합대회 團合大會
단합되다 團合되다
단합하다 團合하다
단항 單桁
단항 短桁
단항 短項
단항식 單項式
단핵 單核
단핵세포 單核細胞
단행 單行
단행 斷行
단행 短行
단행 端行
단행기관차 單行機關車
단행되다 斷行되다
단행범 單行犯
단행법 單行法
단행본 單行本
단행하다 斷行하다
단향 壇向
단향 檀香
단향매 檀香梅
단향목 檀香木
단헌 單獻
단현 斷絃
단현운동 單弦運動
단현운동 斷絃運動
단현하다 斷絃하다
단혈 丹穴
단혈 單孑
단형 單形
단형 斷刑
단형사동 短形使動
단형시 短形詩
단형시조 短形時調
단형영성체 單形領聖體
단호 斷乎
단호 短狐
단호거부 斷乎拒否
단호대처 斷乎對處
단호조치 斷乎措置
단호하다 斷乎하다
단호흉배 單虎胸背
단호히 斷乎히
단혼 單婚
단혼 斷魂
단홍 丹紅
단화 丹花
단화 短話
단화 短靴
단화 端華
단화과 單花果
단화산 單火山
단화피화 單花被花
단확 端確
단환 團環
단환 檀桓
단활차 單滑車
단황 單簧
단황 蛋黃
단황란 端黃卵
단회 團會
단회계제도 單會計制度
단후 單厚
단후 端厚
닫힌곡선 닫힌曲線
닫힌구간 닫힌區間
닫힌음절 닫힌音節
닫힌집합 닫힌集合
닫힌회로 닫힌回路
달 喙
달 妲
달 怛
달 撻
달 澾
달 獺
달 疸
달 達
달 闥
달 靼
달 韃
달강어 達江魚
달거리요 달거리謠
달거리체 달거리體
달견 達見
달공 達工
달관 達官
달관 達觀
달관하다 達觀하다
달권 達權
달기 疸氣
달기 達己
달기 達氣
달능 達能
달달가무 達達歌舞
달덕 達德
달도 達道
달러지역 달러地域
달러환 달러換
달력 달曆
달련 達練
달례 達禮
달론 達論
달료 達僚
달리 達理
달마 達磨
달마대사 達磨大師
달문 達文
달벌 撻罰
달변 達辯
달변 달邊
달병 疸病
달본 達本
달사 達士
달사 達師
달사 達辭
달상 達相
달생 達生
달서 達曙
달성 達成
달성도 達成度
달성되다 達成되다
달성하다 達成하다
달소 達宵
달식 達識
달야 達夜
달야하다 達夜하다
달언 達言
달욕 撻辱
달의 達意
달의하다 達意하다
달이 達已
달인 達人
달인대관 達人大觀
달자 達字
달자 達者
달작 達作
달작정 달作定
달장근 달將近
달재 達才
달제 獺祭
달제어 獺祭魚
달조 獺爪
달존 達尊
달증 疸症
달첩 달妾
달초 撻楚
달초하다 撻楚하다
달태 撻笞
달통 達通
달통하다 達通하다
달팔십 達八十
달팽이관 달팽이管
달필 達筆
달하 達下
달하다 達하다
달화주 達化主
달효 達孝
닭고집 닭固執
닭의장 닭의欌
닭의장풀 닭의欌풀
닭장 닭欌
닭죽 닭粥
닮음비 닮음比
담 儋
담 啖
담 啗
담 噉
담 坍
담 墰
담 壜
담 憺
담 憾
담 擔
담 曇
담 毯
담 淡
담 湛
담 潭
담 澹
담 炎
담 痰
담 禫
담 罎
담 聃
담 膽
담 蕁
담 薝
담 覃
담 談
담 譚
담 郯
담 錟
담 黮
담 黵
담가 擔架
담가 譚歌
담갈색 淡褐色
담갱 淡羹
담결 淡潔
담결 痰結
담결석 膽結石
담경 膽經
담고 擔鼓
담관 膽管
담관염 膽管炎
담괴 痰塊
담교 淡交
담교 談交
담구 擔具
담궐 痰厥
담궐두통 痰厥頭痛
담기 擔機
담기 痰氣
담기 膽氣
담꾼 擔꾼
담남색 淡藍色
담낭 膽囊
담낭수종 膽囊水腫
담낭염 膽囊炎
담녹색 淡綠色
담담 淡淡
담담 潭潭
담담하다 淡淡하다
담담히 淡淡히
담당 擔當
담당관 擔當官
담당교수 擔當敎授
담당사원 擔當社員
담당업무 擔當業務
담당자 擔當者
담당직무 擔當職務
담당책임 擔當責任
담당하다 擔當하다
담대 膽大
담대심소 膽大心小
담대하다 膽大하다
담대히 膽大히
담도 坍倒
담도 膽道
담들다 痰들다
담락 湛樂
담략 膽略
담략하다 膽略하다
담력 膽力
담록 淡綠
담록소 膽綠素
담론 談論
담론하다 談論하다
담륜동물 膽輪動物
담륜자 擔輪子
담륜자 膽輪子
담림 談林
담마 蕁麻
담목산 擔木山
담묵 淡墨
담미 淡味
담박 淡泊
담박 澹泊
담박하다 淡泊하다
담박하다 澹泊하다
담반 膽礬
담배통 담배桶
담배합 담배盒
담백 淡白
담백하다 淡白하다
담뱃갑 담뱃匣
담뱃순 담뱃筍
담벽 淡碧
담벽 담壁
담벽색 淡碧色
담병 痰病
담보 擔保
담보가격 擔保價格
담보계약 擔保契約
담보공탁 擔保供託
담보권 擔保權
담보대부 擔保貸付
담보물 擔保物
담보물권 擔保物權
담보배서 擔保背書
담보부공채 擔保附公債
담보부대부 擔保附貸付
담보부사채 擔保附社債
담보액 擔保額
담보제공 擔保提供
담보조약 擔保條約
담보증권 擔保證券
담보책임 擔保責任
담보청구권 擔保請求權
담보하다 擔保하다
담부 擔夫
담부 擔負
담부지역 擔負之役
담부하다 擔負하다
담북장 담북醬
담사 潭思
담산논수 談山論水
담상 潭上
담색 淡色
담색단 淡色團
담석 擔石
담석 膽石
담석증 膽石症
담석통 膽石痛
담설 膽泄
담설 談說
담성 痰聲
담성 膽星
담세 擔稅
담세능력 擔稅能力
담세력 擔稅力
담세자 擔稅者
담소 淡素
담소 膽小
담소 談笑
담소자약 談笑自若
담소하다 淡素하다
담소하다 膽小하다
담소하다 談笑하다
담수 擔獸
담수 淡峀
담수 淡愁
담수 淡水
담수 湛水
담수 潭水
담수 痰嗽
담수동물 淡水動物
담수수모 淡水水母
담수양식 淡水養殖
담수양어 淡水養魚
담수어 淡水魚
담수어업 淡水漁業
담수장 淡水醬
담수조 淡水藻
담수지교 淡水之交
담수진주 淡水眞珠
담수해면 淡水海綿
담수호 淡水湖
담수화 淡水化
담습 痰濕
담시 譚詩
담시곡 譚詩曲
담식 淡食
담식하다 淡食하다
담심 潭心
담심 潭深
담심하다 潭深하다
담아 淡雅
담아하다 淡雅하다
담애 淡靄
담액 膽液
담액질 膽液質
담약 膽弱
담약하다 膽弱하다
담양 潭陽
담양분지 潭陽盆地
담여 談餘
담연 淡淵
담연 淡然
담연 淡煙
담연 痰涎
담연하다 淡然하다
담연히 淡然히
담열 痰熱
담염 淡鹽
담염 澹艶
담염탕 淡鹽湯
담옹 痰壅
담외 憺畏
담용 膽勇
담용하다 膽勇하다
담운 淡雲
담울 痰鬱
담월 淡月
담월 澹月
담은 覃恩
담음 痰飮
담음요통 痰飮腰痛
담의 談義
담의 談議
담임 擔任
담임교사 擔任敎師
담임선생 擔任先生
담임하다 擔任하다
담자 淡姿
담자균 擔子菌
담자균류 擔子菌類
담자균식물 擔子菌植物
담자병 擔子柄
담자색 淡紫色
담자세포 膽子細胞
담자체 膽子體
담자포자 膽子胞子
담장 淡粧
담장 담牆
담장농말 淡粧濃抹
담장하다 淡粧하다
담적소 膽赤素
담조아 膽條兒
담종 擔鐘
담종 痰腫
담죽 淡竹
담죽엽 淡竹葉
담즙 膽汁
담즙산 膽汁酸
담즙색소 膽汁色素
담즙질 膽汁質
담즙질 蕁汁質
담증 痰症
담증 膽症
담지 擔持
담지 膽智
담차 談次
담차다 膽차다
담채 淡彩
담채 淡菜
담채화 淡彩畵
담책 擔責
담천 曇天
담천 痰喘
담청 淡靑
담청색 淡靑色
담청옥 淡靑玉
담체 擔體
담체 痰滯
담초 談草
담초자 曇硝子
담총 擔銃
담타 痰唾
담탕 淡蕩
담태 淡態
담판 談判
담판하다 談判하다
담팔수 膽八樹
담하 淡霞
담하다 淡하다
담학 潭壑
담학 痰壑
담한 膽寒
담한하다 膽寒하다
담합 談合
담합인상 談合引上
담합행위 談合行爲
담해 痰咳
담해수동물 淡海水動物
담핵 痰核
담향 淡香
담향 痰饗
담헌설총 湛軒說叢
담헌연기 湛軒燕記
담호 淡湖
담홍 淡紅
담홍색 淡紅色
담홍은광 淡紅銀鑛
담화 曇華
담화 淡畵
담화 痰火
담화 談話
담화랑 擔花郞
담화체 談話體
담화하다 談話하다
담환 擔環
담황 淡黃
담황색 淡黃色
담회 談會
담훈 痰暈
담흑 淡黑
담흑색 淡黑色
답 沓
답 畓
답 答
답 踏
답 遝
답 龘
답가 踏歌
답가하다 踏歌하다
답간 答簡
답감 踏勘
답결 畓結
답계 踏啓
답곡 畓穀
답교 踏橋
답교놀이 踏橋놀이
답구 踏臼
답권 畓券
답농 畓農
답랍고 答臘鼓
답례 答禮
답릉 踏凌
답무 踏舞
답무하다 踏舞하다
답문 答問
답방 答訪
답방하다 答訪하다
답배 答拜
답배 答盃
답배 答배
답배하다 答拜하다
답배하다 答盃하다
답배하다 答배하다
답변 答辯
답변서 答辯書
답변하다 答辯하다
답보 答報
답보 踏步
답보상태 踏步狀態
답보하다 踏步하다
답사 答謝
답사 答賜
답사 答辭
답사 踏査
답사대 踏査隊
답사하다 答辭하다
답사하다 踏査하다
답사행가무 踏沙行歌舞
답삭 踏索
답산 踏山
답산하다 踏山하다
답살 踏殺
답살하다 踏殺하다
답새 答賽
답서 答書
답서하다 答書하다
답쇄 踏碎
답수 答數
답수 答酬
답습 踏襲
답습하다 踏襲하다
답신 答信
답신 答申
답신서 答申書
답신안 答信案
답신안 答申案
답신하다 答信하다
답신하다 答申하다
답안 答案
답압 踏壓
답압기 踏壓機
답어 答語
답언 答言
답언하다 答言하다
답엽 踏葉
답월 踏月
답월하다 踏月하다
답읍 答揖
답읍하다 答揖하다
답응 答應
답인 踏印
답인하다 踏印하다
답잡 沓雜
답장 答狀
답장하다 答狀하다
답전 答電
답전작 沓前作
답전하다 答電하다
답종 踏腫
답주 畓主
답중악 畓中樂
답지 答紙
